length	quality
23142	0.874
9225	0.874
21640	0.846
6747	0.846
11499	0.863
3184	0.851
12547	0.847
3325	0.810
3917	0.810
2342	0.852
7007	0.857
6985	0.813
5523	0.852
35445	0.840
2895	0.827
13568	0.827
7781	0.877
9453	0.866
12498	0.840
11804	0.840
13874	0.847
22053	0.847
8744	0.811
1045	0.811
9236	0.838
8579	0.827
17031	0.889
16030	0.889
6638	0.815
9549	0.872
4511	0.845
6803	0.845
14892	0.851
1026	0.829
2057	0.829
1134	0.829
1013	0.829
5736	0.827
11070	0.873
6589	0.873
10673	0.834
14554	0.809
3946	0.884
14080	0.831
12808	0.831
6790	0.831
7603	0.821
8009	0.863
5837	0.837
3019	0.847
4354	0.847
2913	0.855
5067	0.855
13144	0.828
17466	0.862
9958	0.862
9387	0.875
11204	0.875
10956	0.875
2685	0.875
5030	0.801
6117	0.836
8970	0.836
15295	0.879
1894	0.833
9163	0.878
8872	0.878
2538	0.861
7493	0.845
1649	0.845
7394	0.845
7245	0.858
18003	0.883
10567	0.836
2712	0.867
9059	0.853
5977	0.835
10755	0.848
5137	0.864
20084	0.864
18480	0.813
6166	0.813
3980	0.866
6380	0.867
1180	0.837
11790	0.857
6793	0.857
5937	0.853
12501	0.860
3818	0.884
5127	0.840
20693	0.867
18066	0.832
8738	0.832
13156	0.833
8358	0.812
8367	0.854
12696	0.854
12888	0.862
4023	0.862
13250	0.871
12426	0.871
6356	0.871
10267	0.871
10892	0.871
12183	0.867
12090	0.867
5011	0.872
35384	0.810
1192	0.810
10258	0.843
3077	0.843
16781	0.843
13532	0.864
14744	0.864
6631	0.814
6760	0.820
1033	0.813
2091	0.817
10179	0.869
12223	0.804
8400	0.837
8277	0.869
17598	0.884
12667	0.884
6456	0.874
9205	0.874
8173	0.861
1115	0.861
8670	0.807
7583	0.869
14127	0.869
2897	0.869
13834	0.839
6805	0.839
3498	0.864
11006	0.864
3757	0.814
10739	0.867
6833	0.867
18621	0.807
13372	0.863
5563	0.872
8518	0.872
9238	0.801
4212	0.858
7336	0.845
14644	0.860
13344	0.860
5223	0.860
11349	0.817
8814	0.817
11956	0.848
20785	0.883
12467	0.883
15379	0.871
2029	0.818
3768	0.851
1734	0.834
10485	0.866
12208	0.866
9737	0.838
